code,trade_date,qfq_open,qfq_high,qfq_low,qfq_close,volume,ma5,ma10,ma20,k_value,d_value,j_value,dif,dea,macd,cap_bucket
600519.SH,2024-01-02,9.98,10.1,9.88,10.0,1000,10.01,10.0,9.95,45,44,48,0.1,0.09,0.02,large
600519.SH,2024-01-03,10.0,10.12,9.9,10.02,980,10.01,10.0,9.95,46,45,49,0.102,0.092,0.025,large
600519.SH,2024-01-04,10.02,10.12,9.91,10.01,1020,10.01,10.0,9.95,47,46,50,0.104,0.094,0.02,large
600519.SH,2024-01-05,10.01,10.13,9.91,10.03,1010,10.01,10.0,9.96,45,44,51,0.106,0.096,0.025,large
600519.SH,2024-01-08,10.03,10.13,9.92,10.02,990,10.01,10.0,9.96,46,45,48,0.108,0.098,0.02,large
600519.SH,2024-01-09,10.02,10.12,9.91,10.01,995,10.02,10.01,9.96,47,46,49,0.11,0.1,0.025,large
600519.SH,2024-01-10,10.01,10.14,9.91,10.04,1005,10.02,10.01,9.96,45,44,50,0.112,0.102,0.02,large
600519.SH,2024-01-11,10.04,10.14,9.93,10.03,1015,10.02,10.01,9.96,46,45,51,0.114,0.104,0.025,large
600519.SH,2024-01-12,10.03,10.13,9.92,10.02,1000,10.02,10.01,9.97,47,46,48,0.116,0.106,0.02,large
600519.SH,2024-01-15,10.02,10.15,9.92,10.05,1025,10.02,10.01,9.97,45,44,49,0.118,0.108,0.025,large
600519.SH,2024-01-16,10.05,10.15,9.94,10.04,1030,10.02,10.01,9.97,46,45,50,0.12,0.11,0.02,large
600519.SH,2024-01-17,10.04,10.14,9.93,10.03,1010,10.02,10.01,9.97,47,46,51,0.122,0.112,0.025,large
600519.SH,2024-01-18,10.03,10.15,9.93,10.05,1005,10.02,10.01,9.97,45,44,48,0.124,0.114,0.02,large
600519.SH,2024-01-19,10.05,10.15,9.94,10.04,995,10.02,10.01,9.98,46,45,49,0.126,0.116,0.025,large
600519.SH,2024-01-22,10.04,10.14,9.93,10.03,1000,10.02,10.01,9.98,47,46,50,0.128,0.118,0.02,large
600519.SH,2024-01-23,10.03,10.15,9.93,10.05,1010,10.03,10.02,9.98,45,44,51,0.13,0.12,0.025,large
600519.SH,2024-01-24,10.05,10.16,9.95,10.06,1020,10.03,10.02,9.98,46,45,48,0.132,0.122,0.02,large
600519.SH,2024-01-25,10.06,10.16,9.95,10.05,1000,10.03,10.02,9.98,47,46,49,0.134,0.124,0.025,large
600519.SH,2024-01-26,10.05,10.15,9.94,10.04,1015,10.03,10.02,9.99,45,44,50,0.136,0.126,0.02,large
600519.SH,2024-01-29,10.1,10.7,10.08,10.62,2400,10.03,10.02,9.99,46,45,51,0.138,0.128,0.025,large
600519.SH,2024-01-30,10.62,10.81,10.51,10.7,1700,10.03,10.02,9.99,47,46,48,0.14,0.13,0.02,large
600519.SH,2024-01-31,10.7,10.87,10.59,10.76,1650,10.03,10.02,9.99,45,44,49,0.142,0.132,0.025,large
600519.SH,2024-02-01,10.76,10.93,10.65,10.82,1600,10.03,10.02,9.99,46,45,50,0.144,0.134,0.02,large
